CLASS HABITAT-TYPE-GROUP
NAME B3
HABITAT-TYPES 250:280:281:283:292
CLIMAX-SPECIES DF:PP
SERAL-SPECIES DF:PP:LP:CW:ES
END

CLASS ALL-VEG-TYPES
553
NS,NS,1,1,LIGHT-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:SUCCESSION:UPLAND-GRASSES/CLOSED-HERB/1:0,L-DF-GF:24:250:LATE-SERAL:11:268:WP:12:144:DF-PP-GF:19:267:CW:11:235:L:9:231:L-DF-LP:9:241:PP-DF:5:213:L-PP:2:197:DF-PP-LP:2:124:DF-PP:2:170:NS:167:43:L-LP-GF:13:269:DF-RRWP-GF:18:260:QA:12:235:RRWP:9:151:ES:18:220:L-GF:12:227:DF-GF:35:325:L-DF:11:234:PP:2:148:L-LP:8:229:DF-LP:4:279:L-PP-LP:12:169:PF:10:226:L-DF-PP:4:195:DF-RRWP:33:254:DF-WP:14:247:AGR:301:298:DF-WP-GF:17:256:EARLY-SERAL:11:276:GF:10:239:ES-LP:21:235:DF:1:131:LP:19:245
PP,MMU,1,2,LIGHT-SEVERITY-FIRE:PP/MTS/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/MEDIUM/2:0:PP-MPB:PP/MEDIUM/2:0:SUCCESSION:PP-DF/MMU/3:0,PP:455:20
LP,MTS,1,3,LIGHT-SEVERITY-FIRE:LP/MTS/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:LP/MEDIUM/2:0:SUCCESSION:LP/MTS2/3:0:SEVERE-LP-MPB:LP/MEDIUM/2:0:LIGHT-LP-MPB:LP/MEDIUM/2:0,LP:380:150
CW,SS,1,3,LIGHT-SEVERITY-FIRE:CW/SS/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:CW/SS/3:0:SUCCESSION:CW/SS2/4:0,CW:40:150:CW-MC:92:148
LP,MTS,1,2,LIGHT-SEVERITY-FIRE:LP/MTS/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:LP/MEDIUM/2:0:SUCCESSION:LP/MTS/3:0:SEVERE-LP-MPB:LP/MEDIUM/2:0:LIGHT-LP-MPB:LP/MEDIUM/2:0,LP:380:20:ES-LP:384:81
CW,SS,1,2,LIGHT-SEVERITY-FIRE:CW/SS/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:CW/SS/2:0:SUCCESSION:CW/SS2/3:0,CW:40:20:CW-MC:89:10
LP,MEDIUM,1,4,LIGHT-SEVERITY-FIRE:LP/MTS/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:LP/MEDIUM/2:0:SUCCESSION:DF-LP/MMU/4:0:SEVERE-LP-MPB:LP/MEDIUM/2:0:LIGHT-LP-MPB:LP/MEDIUM/3:0,LP:315:280
DF-LP,LMU,4,4,LIGHT-SEVERITY-FIRE:DF-LP/LARGE/3:0:SEVERE-WSBW:DF-LP/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF-LP/MTS/2:0:LIGHT-WSBW:DF-LP/LMU5/4:0:MIXED-SEVERITY-FIRE:DF/LARGE/2:0:DF-BEETLE:DF-LP/LMU/3:0:SUCCESSION:DF-LP/LMU5/4:0:SEVERE-LP-MPB:DF-LP/LMU/3:0:LIGHT-LP-MPB:DF-LP/LMU/3:0,DF-LP:720:310
LP,MEDIUM,1,3,LIGHT-SEVERITY-FIRE:LP/MTS/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:LP/MEDIUM/2:0:SUCCESSION:LP/MEDIUM2/3:0:SEVERE-LP-MPB:LP/MEDIUM/2:0:LIGHT-LP-MPB:LP/MEDIUM/3:0,DF-LP:322:260:LP:315:150:ES-LP:304:232
LP,MEDIUM,1,2,LIGHT-SEVERITY-FIRE:LP/PTS/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:LP/MEDIUM/2:0:SUCCESSION:LP/MEDIUM/3:0:SEVERE-LP-MPB:LP/MEDIUM/2:0:LIGHT-LP-MPB:LP/MEDIUM/2:0,DF-LP:334:89:LP:315:20:ES-LP:303:72
PP-DF,VLMU,1,4,LIGHT-SEVERITY-FIRE:PP-DF/VLMU/3:0:SEVERE-WSBW:PP-DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:PP-DF/LMU/2:0:LIGHT-WSBW:PP-DF/VLMU/4:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:DF-BEETLE:PP/LMU/2:0:PP-MPB:DF/LMU/3:0:SUCCESSION:PP-DF/VLMU/4:0,L-DF-PP:968:492:PP-DF:955:280:PP:955:432
PP-DF,VLMU,1,3,LIGHT-SEVERITY-FIRE:PP-DF/VLMU/3:0:SEVERE-WSBW:PP-DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:PP-DF/LMU/2:0:LIGHT-WSBW:PP-DF/VLMU/4:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:DF-BEETLE:PP/LMU/2:0:PP-MPB:DF/LMU/3:0:SUCCESSION:PP-DF/VLMU/4:0,L-DF-PP:960:222:PP-DF:955:150:PP:915:261
CW,POLE,2,4,LIGHT-SEVERITY-FIRE:CW/LMU/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:CW/LMU/3:0:SUCCESSION:CW/MEDIUM/4:0,CW:145:290
CW,POLE,2,3,LIGHT-SEVERITY-FIRE:CW/LMU/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:CW/LMU/3:0:SUCCESSION:CW/MEDIUM/4:0,CW:145:160
CW,POLE,2,2,LIGHT-SEVERITY-FIRE:CW/LMU/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:CW/LMU/2:0:SUCCESSION:CW/MEDIUM/3:0,CW:145:30
ES,MMU,2,4,LIGHT-SEVERITY-FIRE:ES/MEDIUM/2:0:SEVERE-WSBW:ES/MEDIUM/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:LIGHT-WSBW:ES/MMU3/4:0:MIXED-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:SUCCESSION:ES/MMU3/4:0,ES:465:290
ES,MMU,2,3,LIGHT-SEVERITY-FIRE:ES/LARGE/2:0:SEVERE-WSBW:ES/MEDIUM/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:LIGHT-WSBW:ES/LMU/4:0:MIXED-SEVERITY-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:SUCCESSION:ES/LMU/4:0,ES:465:160
ES-LP,MTS,1,4,LIGHT-SEVERITY-FIRE:ES-LP/MEDIUM/4:0:SEVERE-WSBW:ES-LP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/MTS/2:0:LIGHT-WSBW:ES-LP/MTS/4:0:MIXED-SEVERITY-FIRE:LP/MEDIUM/3:0:SUCCESSION:ES-LP/MTS2/4:0:SEVERE-LP-MPB:ES-LP/MTS/3:0:LIGHT-LP-MPB:ES-LP/MTS/3:0,LP:496:420:ES-LP:380:280
ES-LP,MTS,1,3,LIGHT-SEVERITY-FIRE:ES-LP/MEDIUM/3:0:SEVERE-WSBW:ES-LP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/MTS/2:0:LIGHT-WSBW:ES-LP/MTS2/3:0:MIXED-SEVERITY-FIRE:LP/MEDIUM/2:0:SUCCESSION:ES-LP/MTS2/3:0:SEVERE-LP-MPB:ES-LP/MTS/2:0:LIGHT-LP-MPB:ES-LP/MTS/2:0,ES-LP:380:150
ES-LP,MTS,1,2,LIGHT-SEVERITY-FIRE:ES-LP/MEDIUM/2:0:SEVERE-WSBW:ES-LP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:LIGHT-WSBW:ES-LP/MTS/3:0:MIXED-SEVERITY-FIRE:LP/POLE/2:0:SUCCESSION:ES-LP/MTS/3:0:SEVERE-LP-MPB:ES-LP/MTS/2:0:LIGHT-LP-MPB:ES-LP/MTS/2:0,ES-LP:380:20
PP-DF,VERY-LARGE,1,4,LIGHT-SEVERITY-FIRE:PP-DF/VLTS/2:0:SEVERE-WSBW:PP-DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:PP-DF/LMU/2:0:LIGHT-WSBW:PP-DF/VLTS/4:0:MIXED-SEVERITY-FIRE:PP/VERY-LARGE/2:0:DF-BEETLE:PP/LTS/2:0:PP-MPB:PP-DF/LARGE/3:0:SUCCESSION:PP-DF/VLTS/4:0,PP-DF:780:280:PP:359:319
PP,MEDIUM,1,4,LIGHT-SEVERITY-FIRE:PP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/MEDIUM/3:0:PP-MPB:PP/MEDIUM/2:0:SUCCESSION:PP-DF/MEDIUM/4:0,PP:315:280
PP-DF,VERY-LARGE,1,3,LIGHT-SEVERITY-FIRE:PP-DF/VLTS/2:0:SEVERE-WSBW:PP-DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:PP-DF/LMU/2:0:LIGHT-WSBW:PP-DF/VLTS/3:0:MIXED-SEVERITY-FIRE:PP/VERY-LARGE/2:0:DF-BEETLE:PP/LTS/2:0:PP-MPB:PP-DF/LARGE/2:0:SUCCESSION:PP-DF/VLTS/3:0,EARLY-SERAL:620:147:LATE-SERAL:561:188:PP-DF:780:150
PP,MEDIUM,1,3,LIGHT-SEVERITY-FIRE:PP/MEDIUM/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/MEDIUM/2:0:PP-MPB:PP/MEDIUM/2:0:SUCCESSION:PP-DF/MMU/3:0,PP:315:150
PP-DF,VERY-LARGE,1,2,LIGHT-SEVERITY-FIRE:PP-DF/VLTS/2:0:SEVERE-WSBW:PP-DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:PP-DF/LMU/2:0:LIGHT-WSBW:PP-DF/VLTS/2:0:MIXED-SEVERITY-FIRE:PP/VERY-LARGE/2:0:DF-BEETLE:PP/LTS/2:0:PP-MPB:PP-DF/LARGE/2:0:SUCCESSION:PP-DF/VLTS/2:0,EARLY-SERAL:642:79:L-DF-PP:738:75:LATE-SERAL:621:33:PP-DF:780:20
PP,MEDIUM,1,2,LIGHT-SEVERITY-FIRE:PP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/MEDIUM/2:0:PP-MPB:PP/MEDIUM/2:0:SUCCESSION:PP-DF/MMU/2:0,DF-PP:255:39:PP-DF:263:4:PP:315:20
ES-LP,MEDIUM,5,4,LIGHT-SEVERITY-FIRE:ES-LP/MEDIUM/3:0:SEVERE-WSBW:ES-LP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/MTS/2:0:LIGHT-WSBW:ES-LP/MEDIUM6/4:0:MIXED-SEVERITY-FIRE:LP/MEDIUM/2:0:SUCCESSION:ES-LP/MEDIUM6/4:0:SEVERE-LP-MPB:ES-LP/MEDIUM/3:0:LIGHT-LP-MPB:ES-LP/MEDIUM/3:0,ES-LP:355:320
DF-PP-LP,MMU,1,4,LIGHT-SEVERITY-FIRE:PP-DF/LARGE/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP-DF/LARGE/2:0:SUCCESSION:PP-DF/MMU/4:0:SEVERE-LP-MPB:PP-DF/MEDIUM/2:0:LIGHT-LP-MPB:PP-DF/MEDIUM/3:0,DF-PP-PP:348:143:DF-PP-LP:455:280
DF-LP,PTS,1,4,LIGHT-SEVERITY-FIRE:DF-LP/POLE/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF-LP/PTS/2:0:MIXED-SEVERITY-FIRE:DF/POLE/3:0:SUCCESSION:DF-LP/PTS2/4:0,DF-LP:180:280
DF-PP-LP,MMU,1,3,LIGHT-SEVERITY-FIRE:DF-PP-LP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP-DF/MEDIUM/2:0:SUCCESSION:DF-PP-LP/MMU2/3:0:SEVERE-LP-MPB:PP-DF/MEDIUM/2:0:LIGHT-LP-MPB:PP-DF/MEDIUM/3:0,DF-PP-PP:338:132:DF-PP-LP:455:150
DF-LP,PTS,1,3,LIGHT-SEVERITY-FIRE:DF-LP/POLE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF-LP/PTS/2:0:MIXED-SEVERITY-FIRE:DF/POLE/2:0:SUCCESSION:DF-LP/PTS2/3:0,DF-LP:180:150
DF-PP-LP,MMU,1,2,LIGHT-SEVERITY-FIRE:DF-PP-LP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP-DF/MEDIUM/2:0:SUCCESSION:DF-PP-LP/MMU/3:0:SEVERE-LP-MPB:PP-DF/MEDIUM/2:0:LIGHT-LP-MPB:PP-DF/MEDIUM/3:0,DF-PP-PP:315:24:DF-PP-LP:455:20
DF-LP,PTS,1,2,LIGHT-SEVERITY-FIRE:DF-LP/POLE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF-LP/PTS/2:0:MIXED-SEVERITY-FIRE:DF/POLE/2:0:SUCCESSION:DF-LP/PTS/3:0,DF-LP:180:20
DF,LMU,4,4,LIGHT-SEVERITY-FIRE:DF/LTS/2:0:SEVERE-WSBW:DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF/LMU/3:0:LIGHT-WSBW:DF/LMU5/4:0:MIXED-SEVERITY-FIRE:DF/LARGE/2:0:DF-BEETLE:DF/LMU/3:0:SUCCESSION:DF/LMU5/4:0,L-DF:862:398:DF-LP:843:393:DF:720:310:LP:940:379:PP-DF:836:430
DF,LMU,4,3,LIGHT-SEVERITY-FIRE:DF/LTS/2:0:SEVERE-WSBW:DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF/LMU/2:0:LIGHT-WSBW:DF/LMU5/3:0:MIXED-SEVERITY-FIRE:DF/LARGE/2:0:DF-BEETLE:DF/LMU/2:0:SUCCESSION:DF/LMU5/3:0,DF-LP:825:238:DF:720:180:LP:941:212:DF-GF:870:485:PP-DF:830:277
DF-LP,LTS,1,4,LIGHT-SEVERITY-FIRE:DF-LP/LTS/3:0:SEVERE-WSBW:DF-LP/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF-LP/MTS/2:0:LIGHT-WSBW:DF-LP/LMU/4:0:MIXED-SEVERITY-FIRE:DF/LARGE/2:0:DF-BEETLE:DF-LP/LMU/2:0:SUCCESSION:DF-LP/LMU/4:0:SEVERE-LP-MPB:DF-LP/LMU/3:0:LIGHT-LP-MPB:DF-LP/LMU/3:0,DF-LP:610:280
DF-LP,LTS,1,3,LIGHT-SEVERITY-FIRE:DF-LP/LTS/2:0:SEVERE-WSBW:DF-LP/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF-LP/MTS/2:0:LIGHT-WSBW:DF-LP/LMU/3:0:MIXED-SEVERITY-FIRE:DF/LARGE/2:0:DF-BEETLE:DF-LP/LMU/2:0:SUCCESSION:DF-LP/LMU/3:0:SEVERE-LP-MPB:DF-LP/LMU/2:0:LIGHT-LP-MPB:DF-LP/LMU/2:0,DF-LP:610:150
DF-LP,LTS,1,2,LIGHT-SEVERITY-FIRE:DF-LP/LTS/2:0:SEVERE-WSBW:DF-LP/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF-LP/MTS/2:0:LIGHT-WSBW:DF-LP/LMU/2:0:MIXED-SEVERITY-FIRE:DF/LARGE/2:0:DF-BEETLE:DF-LP/LMU/2:0:SUCCESSION:DF-LP/LMU/2:0:SEVERE-LP-MPB:DF-LP/LMU/2:0:LIGHT-LP-MPB:DF-LP/LMU/2:0,DF-LP:610:20
ES-LP,POLE,4,4,LIGHT-SEVERITY-FIRE:ES-LP/POLE/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/PTS/2:0:MIXED-SEVERITY-FIRE:LP/POLE/3:0:SUCCESSION:ES-LP/MEDIUM/4:0,ES-LP:165:310
ES-LP,POLE,4,2,LIGHT-SEVERITY-FIRE:ES-LP/POLE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/PTS/2:0:MIXED-SEVERITY-FIRE:LP/POLE/2:0:SUCCESSION:ES-LP/PTS/2:0,ES-LP:165:50
ES-LP,MTS,4,4,LIGHT-SEVERITY-FIRE:ES-LP/MEDIUM/2:0:SEVERE-WSBW:ES-LP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:LIGHT-WSBW:ES-LP/MTS5/4:0:MIXED-SEVERITY-FIRE:LP/POLE/2:0:SUCCESSION:ES-LP/MTS5/4:0:SEVERE-LP-MPB:ES-LP/MTS/3:0:LIGHT-LP-MPB:ES-LP/MTS/3:0,ES-LP:410:310
QA-MC,MEDIUM,1,4,LIGHT-SEVERITY-FIRE:QA/SS/3:0:STAND-REPLACING-FIRE:QA/SS/3:0:MIXED-SEVERITY-FIRE:QA/SS/3:0:SUCCESSION:QA-MC/MEDIUM2/4:0,QA:465:355:QA-MC:315:280
QA-MC,MEDIUM,1,3,LIGHT-SEVERITY-FIRE:QA/SS/3:0:STAND-REPLACING-FIRE:QA/SS/3:0:MIXED-SEVERITY-FIRE:QA/SS/3:0:SUCCESSION:QA-MC/MEDIUM2/4:0,QA:456:192:QA-MC:315:150
QA-MC,MEDIUM,1,2,LIGHT-SEVERITY-FIRE:QA/SS/2:0:STAND-REPLACING-FIRE:QA/SS/2:0:MIXED-SEVERITY-FIRE:QA/SS/2:0:SUCCESSION:QA-MC/MEDIUM2/3:0,QA-MC:315:20
LP,LMU,1,3,LIGHT-SEVERITY-FIRE:LP/LTS/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:LP/LARGE/2:0:SUCCESSION:LP/LMU2/3:0:SEVERE-LP-MPB:LP/MEDIUM/2:0:LIGHT-LP-MPB:LP/LTS/3:0,LP:690:150
LP,POLE,4,4,LIGHT-SEVERITY-FIRE:LP/POLE/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:LP/POLE/2:0:SUCCESSION:LP/POLE5/4:0,LP:165:310
LP,LMU,1,2,LIGHT-SEVERITY-FIRE:LP/LTS/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:LP/LARGE/2:0:SUCCESSION:LP/LMU/3:0:SEVERE-LP-MPB:LP/MEDIUM/2:0:LIGHT-LP-MPB:LP/LTS/2:0,DF-LP:684:83:LP:690:20:AF:878:26:ES-LP:752:114
PP,LMU,4,4,LIGHT-SEVERITY-FIRE:PP/LMU5/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:PP-MPB:PP/LMU4/2:0:SUCCESSION:PP/LMU5/4:0,PP:720:310
PP,LMU,4,3,LIGHT-SEVERITY-FIRE:PP/LMU5/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:PP-MPB:PP/LMU4/2:0:SUCCESSION:PP/LMU5/3:0,PP:720:180
PP,LMU,4,2,LIGHT-SEVERITY-FIRE:PP/LMU5/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:PP-MPB:PP/LMU4/2:0:SUCCESSION:PP-DF/LMU/3:0,PP:720:50
ES-LP,PTS,3,4,LIGHT-SEVERITY-FIRE:ES-LP/POLE/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/PTS/2:0:MIXED-SEVERITY-FIRE:LP/POLE/3:0:SUCCESSION:ES-LP/PTS4/4:0,ES-LP:200:300
DF-LP,PTS,2,4,LIGHT-SEVERITY-FIRE:DF-LP/POLE/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF-LP/PTS/2:0:MIXED-SEVERITY-FIRE:DF-LP/POLE/3:0:SUCCESSION:DF-LP/PTS3/4:0,DF-LP:190:290
ES-LP,PTS,3,3,LIGHT-SEVERITY-FIRE:ES-LP/MEDIUM/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/PTS/2:0:MIXED-SEVERITY-FIRE:LP/MEDIUM/2:0:SUCCESSION:ES-LP/MTS/3:0,ES-LP:200:170
DF-LP,PTS,2,3,LIGHT-SEVERITY-FIRE:DF-LP/POLE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:DF-LP/PTS/2:0:MIXED-SEVERITY-FIRE:DF/POLE/2:0:SUCCESSION:DF-LP/PTS3/3:0,DF-LP:190:160
LP,MTS,4,3,LIGHT-SEVERITY-FIRE:LP/MTS/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:LP/MEDIUM/2:0:SUCCESSION:LP/MTS5/3:0:SEVERE-LP-MPB:LP/MEDIUM/2:0:LIGHT-LP-MPB:LP/MEDIUM/2:0,LP:410:180
PP-DF,LMU,6,4,LIGHT-SEVERITY-FIRE:PP-DF/LMU5/3:0:SEVERE-WSBW:PP-DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:PP-DF/LMU/2:0:LIGHT-WSBW:PP-DF/LMU7/4:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:DF-BEETLE:PP/LMU/2:0:PP-MPB:DF/LMU/3:0:SUCCESSION:PP-DF/LMU7/4:0,PP-DF:740:330
PP-DF,LMU,6,3,LIGHT-SEVERITY-FIRE:PP-DF/LMU/2:0:SEVERE-WSBW:PP-DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:PP-DF/LMU/2:0:LIGHT-WSBW:PP-DF/LMU7/3:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:DF-BEETLE:PP/LMU/2:0:PP-MPB:DF/LMU/3:0:SUCCESSION:PP-DF/LMU7/3:0,PP-DF:740:200
LP,PTS,3,3,LIGHT-SEVERITY-FIRE:LP/POLE/3:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:LP/POLE/2:0:SUCCESSION:LP/PTS4/3:0,LP:200:170
PP-DF,LARGE,1,4,LIGHT-SEVERITY-FIRE:PP-DF/LARGE/3:0:SEVERE-WSBW:PP-DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:PP-DF/LMU/2:0:LIGHT-WSBW:PP-DF/LTS/4:0:MIXED-SEVERITY-FIRE:PP/LARGE/3:0:DF-BEETLE:PP/LTS/2:0:PP-MPB:DF/LARGE/2:0:SUCCESSION:PP-DF/LTS/4:0,QA:624:418:QA-MC:594:400:PP-DF:530:280:CW-MC:676:407
PP-DF,LARGE,1,3,LIGHT-SEVERITY-FIRE:PP-DF/LARGE/2:0:SEVERE-WSBW:PP-DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:PP-DF/LMU/2:0:LIGHT-WSBW:PP-DF/LMU/3:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:DF-BEETLE:PP/LMU/2:0:PP-MPB:DF/LARGE/2:0:SUCCESSION:PP-DF/LMU/3:0,DF-PP-GF:536:275:QA:612:259:QA-MC:597:244:DF-PP-LP:555:217:PP-DF:530:150:CW-MC:666:238:PP:474:264
ES-LP,LMU,1,4,LIGHT-SEVERITY-FIRE:ES-LP/LARGE/3:0:SEVERE-WSBW:ES-LP/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:LP/MTS/2:0:LIGHT-WSBW:ES-LP/LMU2/4:0:MIXED-SEVERITY-FIRE:LP/LARGE/2:0:SUCCESSION:ES-LP/LMU2/4:0:SPRUCE-BEETLE:LP/LMU/2:0:SEVERE-LP-MPB:ES-LP/LMU/3:0:LIGHT-LP-MPB:ES-LP/LMU/3:0,LP:854:344:ES-LP:690:280
PP-DF,LARGE,1,2,LIGHT-SEVERITY-FIRE:PP-DF/LARGE/2:0:SEVERE-WSBW:PP-DF/LARGE/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:ROOT-DISEASE:PP-DF/LMU/2:0:LIGHT-WSBW:PP-DF/LMU/3:0:MIXED-SEVERITY-FIRE:PP/LARGE/2:0:DF-BEETLE:PP/LMU/2:0:PP-MPB:DF/LARGE/2:0:SUCCESSION:PP-DF/LMU/3:0,DF-PP-GF:523:83:DF-PP-LP:552:67:PP-DF:530:20:PP:450:93
LP,LTS,2,3,LIGHT-SEVERITY-FIRE:LP/LTS/2:0:STAND-REPLACING-FIRE:UPLAND-GRASSES/CLOSED-HERB/1:0:MIXED-SEVERITY-FIRE:LP/LARGE/2:0:SUCCESSION:LP/LTS3/3:0:SEVERE-LP-MPB:LP/MEDIUM/2:0:LIGHT-LP-MPB:LP/LTS/2:0,LP:620:160
